Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8	Run #9	Run #9	Run #9	Run #9	Run #9	Run #9	Run #9	Run #9	Run #9	Run #9
Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Magnetic Field Strength (1X) (T)	Magnetic Field Strength (10X) (T)	Magnetic Field Strength (100X) (T)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.900	0	3E-4	2.7E-5	0.000	0.000	0.000	0.0000	0.000	0.000	0.900	0	3E-4	2.8E-5	0.009	0.000	-0.109	1.0958E-4	0.000	-0.001	0.900	4E-4	4E-5	4.1E-6	0.000	0.000	0.000	0.0000	0.000	0.000	0.900	-3E-4	-3E-5	-3.3E-6	-0.009	0.000	0.218	-1.0958E-4	0.000	0.003	0.900	-6E-5	-6E-6	-6.3E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.900	2E-5	2E-6	1.9E-7	0.000	0.000	0.000	0.0000	0.000	0.000	0.900	-3E-5	-3E-6	-2.7E-7	0.000	0.000	-0.764	0.0000	0.000	-0.010	0.900	4E-4	4E-5	3.8E-6	0.000	-0.044	6.939E-17	0.0000	-5.479E-4	8.132E-19	0.900	0	0	-2.5E-4	0.004	-0.022	-0.109	5.4792E-5	-2.740E-4	-0.001
1.000	0	3E-4	2.7E-5	0.000	0.000	0.000	0.0000	0.000	0.000	1.000	0	3E-4	2.8E-5	0.009	-0.022	0.000	1.0958E-4	-2.740E-4	0.000	1.000	4E-4	4E-5	3.9E-6	0.000	0.000	0.000	0.0000	0.000	0.000	1.000	-3E-4	-3E-5	-2.9E-6	-0.009	0.000	0.000	-1.0958E-4	0.000	0.000	1.000	-6E-5	-6E-6	-5.5E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.000	4E-6	4E-7	3.5E-8	0.000	0.000	0.000	0.0000	0.000	0.000	1.000	-3E-5	-3E-6	-3.0E-7	0.000	-0.153	-3.054	0.0000	-0.002	-0.038	1.000	4E-4	4E-5	3.8E-6	-0.004	-0.022	-0.545	-5.4792E-5	-2.740E-4	-0.007	1.000	0	0	-2.5E-4	-0.004	0.000	0.327	-5.4792E-5	0.000	0.004
1.100	0	3E-4	2.7E-5	0.000	0.000	0.000	0.0000	0.000	0.000	1.100	0	3E-4	2.7E-5	0.004	0.000	0.218	5.4792E-5	0.000	0.003	1.100	4E-4	4E-5	4.3E-6	0.000	0.000	-0.109	0.0000	0.000	-0.001	1.100	-3E-4	-3E-5	-2.8E-6	-0.009	0.000	-1.309	-1.0958E-4	0.000	-0.016	1.100	-7E-5	-7E-6	-6.9E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.100	2E-5	2E-6	2.0E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.100	-4E-5	-4E-6	-4.5E-7	-0.031	-0.611	-3.927	-3.8354E-4	-0.008	-0.049	1.100	4E-4	4E-5	3.7E-6	-0.004	-0.153	-3.709	-5.4792E-5	-0.002	-0.047	1.100	0	0	-2.5E-4	0.004	0.044	-0.327	5.4792E-5	5.479E-4	-0.004
1.200	0	3E-4	2.7E-5	0.000	0.000	0.000	0.0000	0.000	0.000	1.200	0	3E-4	2.8E-5	0.009	0.022	-0.218	1.0958E-4	2.740E-4	-0.003	1.200	4E-4	4E-5	4.4E-6	0.000	-0.022	-0.109	0.0000	-2.740E-4	-0.001	1.200	-3E-4	-3E-5	-2.5E-6	-0.009	-0.262	-6.327	-1.0958E-4	-0.003	-0.079	1.200	-4E-5	-4E-6	-3.8E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.200	6E-5	6E-6	5.8E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.200	-2E-5	-2E-6	-2.4E-7	-0.122	-0.938	-1.745	-0.0015	-0.012	-0.022	1.200	4E-4	4E-5	3.6E-6	-0.035	-0.764	-6.872	-4.3833E-4	-0.010	-0.086	1.200	0	0	-2.5E-4	0.004	-0.065	-0.654	5.4792E-5	-8.219E-4	-0.008
1.300	0	3E-4	2.7E-5	0.000	0.000	0.000	0.0000	0.000	0.000	1.300	0	3E-4	2.8E-5	0.009	-0.044	-0.109	1.0958E-4	-5.479E-4	-0.001	1.300	4E-4	4E-5	4.4E-6	-0.004	-0.022	0.218	-5.4792E-5	-2.740E-4	0.003	1.300	-3E-4	-3E-5	-2.7E-6	-0.061	-1.265	-9.272	-7.6708E-4	-0.016	-0.116	1.300	-8E-5	-8E-6	-7.6E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.300	9E-5	9E-6	9.1E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.300	-3E-5	-3E-6	-3.0E-7	-0.218	-0.960	0.109	-0.0027	-0.012	0.001	1.300	3E-4	3E-5	3.1E-6	-0.157	-1.527	-5.672	-0.0020	-0.019	-0.071	1.300	0	0	-2.5E-4	-0.009	-0.087	0.109	-1.0958E-4	-0.001	0.001
1.400	0	3E-4	2.6E-5	0.000	0.000	0.000	0.0000	0.000	0.000	1.400	0	3E-4	2.7E-5	0.000	0.000	0.436	0.0000	0.000	0.005	1.400	5E-4	5E-5	4.5E-6	-0.004	0.022	0.327	-5.4792E-5	2.740E-4	0.004	1.400	-2E-4	-2E-5	-2.3E-6	-0.262	-2.116	-3.054	-0.0033	-0.027	-0.038	1.400	-5E-5	-5E-6	-5.2E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.400	1E-5	1E-6	1.0E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.400	-2E-6	-2E-7	-1.7E-8	-0.314	-0.916	0.327	-0.0039	-0.012	0.004	1.400	3E-4	3E-5	3.0E-6	-0.340	-1.898	-1.309	-0.0043	-0.024	-0.016	1.400	0	0	-2.5E-4	-0.013	-0.044	-2.727	-1.6437E-4	-5.479E-4	-0.034
1.500	0	3E-4	2.6E-5	0.000	0.000	0.000	0.0000	0.000	0.000	1.500	0	3E-4	2.8E-5	0.009	0.044	0.000	1.0958E-4	5.479E-4	0.000	1.500	4E-4	4E-5	4.0E-6	0.000	0.044	-1.214E-16	0.0000	5.479E-4	-1.626E-18	1.500	-3E-4	-3E-5	-2.6E-6	-0.484	-1.876	1.091	-0.0061	-0.024	0.014	1.500	-5E-5	-5E-6	-4.5E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.500	1E-5	1E-6	1.4E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.500	-1E-5	-1E-6	-1.5E-7	-0.401	-0.894	-0.109	-0.0050	-0.011	-0.001	1.500	3E-4	3E-5	3.1E-6	-0.537	-1.789	1.854	-0.0067	-0.022	0.023	1.500	0	0	-2.5E-4	-0.017	-0.633	-6.545	-2.1917E-4	-0.008	-0.082
1.600	0	3E-4	2.7E-5	0.000	0.000	0.000	0.0000	0.000	0.000	1.600	0	3E-4	2.8E-5	0.009	0.000	-0.327	1.0958E-4	0.000	-0.004	1.600	4E-4	4E-5	4.0E-6	0.004	0.022	-0.218	5.4792E-5	2.740E-4	-0.003	1.600	-2E-4	-2E-5	-2.2E-6	-0.637	-1.898	-2.618	-0.0080	-0.024	-0.033	1.600	-3E-5	-3E-6	-2.6E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.600	2E-5	2E-6	2.4E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.600	-2E-5	-2E-6	-1.7E-7	-0.493	-0.938	-0.873	-0.0062	-0.012	-0.011	1.600	3E-4	3E-5	2.7E-6	-0.698	-1.527	2.073	-0.0088	-0.019	0.026	1.600	0	0	-2.5E-4	-0.140	-1.353	-5.127	-0.0018	-0.017	-0.064
1.700	0	3E-4	2.7E-5	0.000	0.000	0.000	0.0000	0.000	0.000	1.700	0	3E-4	2.7E-5	0.009	-0.022	-0.218	1.0958E-4	-2.740E-4	-0.003	1.700	4E-4	4E-5	4.2E-6	0.004	0.000	-0.109	5.4792E-5	0.000	-0.001	1.700	-2E-4	-2E-5	-2.4E-6	-0.864	-2.400	-3.491	-0.0108	-0.030	-0.044	1.700	-7E-5	-7E-6	-6.6E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.700	-2E-6	-2E-7	-2.4E-8	0.000	0.000	0.000	0.0000	0.000	0.000	1.700	-7E-6	-7E-7	-6.6E-8	-0.589	-1.069	-0.764	-0.0074	-0.013	-0.010	1.700	2E-4	2E-5	2.5E-6	-0.842	-1.374	1.091	-0.0106	-0.017	0.014	1.700	0	0	-2.5E-4	-0.288	-1.658	-3.709	-0.0036	-0.021	-0.047
1.800	0	3E-4	2.6E-5	0.000	0.000	0.000	0.0000	0.000	0.000	1.800	0	3E-4	2.8E-5	0.004	-0.044	0.000	5.4792E-5	-5.479E-4	0.000	1.800	4E-4	4E-5	4.0E-6	0.004	0.000	0.000	5.4792E-5	0.000	0.000	1.800	-2E-4	-2E-5	-2.4E-6	-1.117	-2.596	-2.727	-0.0140	-0.033	-0.034	1.800	-5E-5	-5E-6	-5.0E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.800	1E-5	1E-6	1.4E-7	0.000	0.000	0.000	0.0000	0.000	0.000	1.800	-1E-5	-1E-6	-1.5E-7	-0.707	-1.091	0.545	-0.0089	-0.014	0.007	1.800	2E-4	2E-5	2.1E-6	-0.973	-1.309	0.654	-0.0122	-0.016	0.008	1.800	0	0	-2.5E-4	-0.471	-2.094	-3.382	-0.0059	-0.026	-0.042
