Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #6,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11,Run #11,Run #11,Run #11,Run #12,Run #12,Run #12,Run #12,Run #12,Run #12,Run #12
Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0.09,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0.09,0.838,10.472,-7.11E-13,0.02,0.25,0,0.09,0,0,0,0.0029,0.062,1.042,0.09,0.017,0,-2.78E-14,4.17E-04,0,-6.94E-16,0.09,0,0,0,0,0,0,0.09,0.07,0.873,43.633,0.0017,0.021,1.042,0.09,0.035,0.873,-43.633,8.33E-04,0.021,-1.042,0.09,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0.09,0.332,3.491,4.44E-14,0.0079,0.083,-3.47E-15,0.09,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.942,10.472,8.88E-14,0.0225,0.25,0,0.1,0,0,0,0.0037,0.062,1.042,0.1,0.017,0.873,87.266,4.17E-04,0.021,2.083,0.1,0,0,0,0,0,0,0.1,0.087,1.745,87.266,0.0021,0.042,2.083,0.1,0.035,0,-43.633,8.33E-04,0,-1.042,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.367,4.363,43.633,0.0087,0.104,1.042,0.1,0,0,0,0,0,0
0.11,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.11,1.047,10.472,43.633,0.025,0.25,1.042,0.11,0,0,0,0.0042,0.062,-2.08E-15,0.11,0.035,1.745,43.633,8.33E-04,0.042,1.042,0.11,0,0,0,0,0,0,0.11,0.105,2.618,43.633,0.0025,0.063,1.042,0.11,0.035,0,43.633,8.33E-04,0,1.042,0.11,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.11,0.419,4.363,-1.33E-13,0.01,0.104,4.16E-15,0.11,0,0,0,0,0,0
0.12,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0.12,1.152,11.345,87.266,0.0275,0.271,2.083,0.12,0,0,0,0.005,0.063,6.25E-15,0.12,0.052,1.745,-1.55E-13,0.0012,0.042,-2.08E-15,0.12,0,0,0,0,0,0,0.12,0.14,2.618,-43.633,0.0033,0.062,-1.042,0.12,0.035,0.873,43.633,8.33E-04,0.021,1.042,0.12,0,0,0,0,0,0,0.12,0,0,43.633,0,0,1.042,0.12,0.454,4.363,43.633,0.0108,0.104,1.042,0.12,0,0,0,0,0,0
0.13,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0.13,1.274,12.217,43.633,0.0304,0.292,1.042,0.13,0,0,0,0.0054,0.063,1.04E-14,0.13,0.07,1.745,7.77E-14,0.0017,0.042,6.94E-16,0.13,0,0,0,0,0,0,0.13,0.157,1.745,1.11E-13,0.0037,0.042,0,0.13,0.052,0.873,-43.633,0.0012,0.021,-1.042,0.13,0,0,0,0,0,0,0.13,0,0.873,43.633,0,0.021,1.042,0.13,0.506,5.236,43.633,0.0121,0.125,1.042,0.13,0,0,0,0,0,0
0.14,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.14,1.396,12.217,8.88E-13,0.0333,0.292,2.78E-15,0.14,0,0,0,0.0062,0.083,1.042,0.14,0.087,1.745,1.55E-13,0.0021,0.042,1.74E-15,0.14,0,0,0,0,0,0,0.14,0.175,2.618,43.633,0.0042,0.062,1.042,0.14,0.052,0,4.44E-14,0.0012,0,2.08E-15,0.14,0,0,0,0,0,0,0.14,0.017,0.873,6.11E-14,4.17E-04,0.021,1.39E-15,0.14,0.559,5.236,-43.633,0.0133,0.125,-1.042,0.14,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0.15,1.518,12.217,43.633,0.0362,0.292,1.042,0.15,0,0,0,0.0071,0.083,1.042,0.15,0.105,1.745,43.633,0.0025,0.042,1.042,0.15,0,0,0,0,0,0,0.15,0.209,2.618,-2.67E-13,0.005,0.062,-2.08E-15,0.15,0.052,0.873,43.633,0.0012,0.021,1.042,0.15,0,0,0,0,0,0,0.15,0.017,0.873,-6.11E-14,4.17E-04,0.021,-1.39E-15,0.15,0.611,4.363,-43.633,0.0146,0.104,-1.042,0.15,0,0,0,0,0,0
0.16,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.16,1.641,13.09,87.266,0.0392,0.312,2.083,0.16,0,0,0,0.0079,0.083,-2.08E-15,0.16,0.122,2.618,43.633,0.0029,0.062,1.042,0.16,0,0,0,0,0,0,0.16,0.227,2.618,0,0.0054,0.062,2.08E-15,0.16,0.07,0.873,0,0.0017,0.021,0,0.16,0,0,0,0,0,0,0.16,0.035,0.873,-43.633,8.33E-04,0.021,-1.042,0.16,0.646,4.363,43.633,0.0154,0.104,1.042,0.16,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0.17,1.78,13.963,43.633,0.0425,0.333,1.042,0.17,0,0,0,0.0087,0.104,1.042,0.17,0.157,2.618,2.00E-13,0.0037,0.063,2.08E-15,0.17,0,0,0,0,0,0,0.17,0.262,2.618,3.33E-13,0.0062,0.063,4.16E-15,0.17,0.07,0.873,6.11E-14,0.0017,0.021,1.56E-15,0.17,0,0,0,0,0,0,0.17,0.035,0,7.22E-14,8.33E-04,0,1.04E-15,0.17,0.698,5.236,43.633,0.0167,0.125,1.042,0.17,0,0,0,0,0,0
0.18,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0.18,1.92,13.963,-4.44E-13,0.0458,0.333,-2.50E-14,0.18,0,0,0,0.01,0.104,1.042,0.18,0.175,2.618,43.633,0.0042,0.062,1.042,0.18,0,0,0,0,0,0,0.18,0.279,2.618,43.633,0.0067,0.063,1.042,0.18,0.087,0.873,-2.78E-14,0.0021,0.021,-2.60E-15,0.18,0,0,0,0,0,0,0.18,0.035,0.873,87.266,8.33E-04,0.021,2.083,0.18,0.75,5.236,-4.44E-14,0.0179,0.125,0,0.18,0,0,0,0,0,0
